date,dean points,dean team,liam points,liam team,winner name,winner team,,dean,liam,,dean_streaks,liam_streaks,,dean_diff,liam_diff
23/03/2012,7,yellow,10,blue,liam,blue,,7,10,,,1,,,3
23/03/2012,5,blue,10,yellow,liam,yellow,,12,20,,,2,,,5
23/03/2012,8,blue,10,yellow,liam,yellow,,20,30,,,3,,,2
23/03/2012,7,blue,10,yellow,liam,yellow,,27,40,,,4,,,3
23/03/2012,8,yellow,10,blue,liam,blue,,35,50,,,5,,,2
23/03/2012,10,yellow,2,blue,dean,yellow,,45,52,,1,,,8,
23/03/2012,10,yellow,5,blue,dean,yellow,,55,57,,2,,,5,
23/03/2012,8,blue,10,yellow,liam,yellow,,63,67,,,1,,,2
26/03/2012,10,yellow,3,blue,dean,yellow,,73,70,,1,,,7,
26/03/2012,5,blue,10,yellow,liam,yellow,,78,80,,,1,,,5
26/03/2012,10,blue,8,yellow,dean,blue,,88,88,,1,,,2,
27/03/2012,10,blue,8,yellow,dean,blue,,98,96,,2,,,2,
27/03/2012,5,yellow,10,blue,liam,blue,,103,106,,,1,,,5
28/03/2012,10,blue,8,yellow,dean,blue,,113,114,,1,,,2,
28/03/2012,8,yellow,10,blue,liam,blue,,121,124,,,1,,,2
28/03/2012,2,yellow,10,blue,liam,blue,,123,134,,,2,,,8
28/03/2012,9,yellow,10,blue,liam,blue,,132,144,,,3,,,1
29/03/2012,1,yellow,10,blue,liam,blue,,133,154,,,4,,,9
30/03/2012,10,blue,7,yellow,dean,blue,,143,161,,1,,,3,
03/04/2012,10,yellow,8,blue,dean,yellow,,153,169,,2,,,2,
03/04/2012,7,yellow,10,blue,liam,yellow,,160,179,,,1,,,3
04/04/2012,9,yellow,10,blue,liam,blue,,169,189,,,2,,,1
04/04/2012,9,blue,10,yellow,liam,yellow,,178,199,,,3,,,1
04/04/2012,7,yellow,10,blue,liam,blue,,185,209,,,4,,,3
04/04/2012,10,yellow,3,blue,dean,yellow,,195,212,,1,,,7,
04/04/2012,10,blue,5,yellow,dean,blue,,205,217,,2,,,5,
04/04/2012,10,blue,5,yellow,dean,blue,,215,222,,3,,,5,
05/04/2012,8,yellow,10,blue,liam,blue,,223,232,,,1,,,2
05/04/2012,10,blue,4,yellow,dean,blue,,233,236,,1,,,6,
05/04/2012,4,yellow,10,blue,liam,blue,,237,246,,,1,,,6
05/04/2012,10,blue,8,yellow,dean,blue,,247,254,,1,,,2,
05/04/2012,10,yellow,8,blue,dean,yellow,,257,262,,2,,,2,
10/04/2012,9,blue,10,yellow,liam,yellow,,266,272,,,1,,,1
